Architect,Condition,Construction Date,Contributing to a National Register District,Current Function,Former Street Number,Historic Function,Integrity,Landmark or National Register,Listing in Existing Survey,National Register Criterion,Noteworthy Buildings Less Than 50 Years Old,PIN Number(s),Potentially Contributing to a  National Register District,Reason for Significance,Secondary Structure,Secondary Structure Condition,Secondary Structure Integrity,Significant,Street,Street Number,Survey Area,Alterations,Architect 1 Information,Architect 2 Information,Architectural Classification or Style,Category,Construction Cost,Contractor 1 Information,Contractor 2 Information,Current Name,Current Wall Material 1,Current Wall Material 2,Direction,Door,Door Detailing,Dormers,Foundation Material or Form,Historic Name,Landscape or Streetscape,Listed in an Existing Survey,Notes,Number of Stories,Origional Building Owner,Origional Wall Material 1,Origional Wall Material 2,Ornamentation,Permit,Porch,Preparer,Preparer Organization or Entity,Research or Archival Information,Roof Material,Roof Ornamentation,Roof Type,Significant Features,Storefront Material,Storm Door,Subdivision,Survey Date,Vernacular Styles or Building Form,Wall Detailing or Ornamentation,Window Configuration,Window Detail,Window Material 1,Window Material 2,Window Storms,Window Type
-,Poor,1909,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-027-0000,Yes,-,Garage,Good,Poor,No,Lathrop Avenue,16,4,resided  porch rebuilt,-,-,-,-,$2000,G.H. Spaulding,-,-,Aluminum Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Good,1911,-,Single Family Residential Building,23,Single Family Residential Building,Good,No,-,-,-,15-12-322-026-0000,Yes,-,-,-,-,No,Lathrop Avenue,18,4,resided,-,-,-,-,$2700,H.F. Brown,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1914,-,Single Family Residential Building,25,Single Family Residential Building,Good,No,-,-,-,15-12-322-025-0000,Yes,-,Garage,Excellent,Poor,No,Lathrop Avenue,22,4,resided  2nd floor addition towards rear,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1912,-,Single Family Residential Building,27,Single Family Residential Building,Excellent,No,-,-,-,15-12-322-024-0000,Yes,-,Garage,Excellent,Poor,No,Lathrop Avenue,24,4,-,-,-,-,-,$2500,H.F. Brown,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1914,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-023-0000,Yes,-,Garage,Excellent,Poor,No,Lathrop Avenue,26,4,resided  porch enclosed,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1913,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-022-0000,Yes,-,Garage,Excellent,Poor,No,Lathrop Avenue,28,4,resided  rear addition,-,-,-,-,-,-,-,-,Asbestos Siding,Wood clapboard,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1913,-,Single Family Residential Building,35,Single Family Residential Building,Excellent,No,-,-,-,15-12-322-021-0000,Yes,-,Garage,Good,Poor,No,Lathrop Avenue,32,4,porch enclosed,-,-,-,-,$2800,H.F. Brown,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
-,Good,1905,-,Single Family Residential Building,12,Single Family Residential Building,Good,No,-,-,-,15-12-322-020-0000,Yes,-,-,-,-,No,Ashland Avenue,11,4,stuccoed historically  replacement windows  porch altered,-,-,-,-,-,-,-,-,Stucco,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 1 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Excellent,1913,-,Single Family Residential Building,14,Single Family Residential Building,Good,No,-,-,-,15-12-322-019-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,13,4,replacement windows  porch altered,-,-,-,-,$4500,C.F. Holman,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,S.T.Havell,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,October 1 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1907,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-018-0000,Yes,-,Garage,Good,Good,No,Ashland Avenue,15,4,eaves resided  replacement windows,-,-,Queen Anne,-,$2800,William Kuehl,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,-,2,-,-,-,classical porch  shingles  corbels  bay window,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1952,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-017-0000,No,-,Garage,Excellent,Good,No,Ashland Avenue,17,4,replacement windows,-,-,-,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,October 1 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1906,-,Single Family Residential Building,20,Multi Family Residential Building,Good,No,-,-,-,15-12-322-016-0000,Yes,-,Garage,Poor,Excellent,No,Ashland Avenue,19,4,resided,-,-,-,-,$1880,Henry Zahn,-,-,Asbestos Siding,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 1 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Excellent,1911,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-015-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,23,4,rear addition  resided  replacement windows,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 1 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Excellent,1908,-,Single Family Residential Building,24,Single Family Residential Building,Good,No,-,-,-,15-12-322-014-0000,Yes,-,Garage,Poor,Poor,No,Ashland Avenue,25,4,resided  rear addition  replacement windows,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 1 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Excellent,1951,-,Single Family Residential Building,28,Single Family Residential Building,Good,No,-,-,-,15-12-322-013-0000,No,-,Garage,Excellent,Excellent,No,Ashland Avenue,29,4,replacement windows,-,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,October 1 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1914,-,Multi Family Residential Building,30,Multi Family Residential Building,Excellent,No,-,-,-,15-12-322-011-0000,Yes,-,-,-,-,No,Ashland Avenue,33,4,replacement windows,F.D. Thompson,-,Queen Anne,-,$6000,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,2,J.M. Wandrey,-,-,stone ornament  classical porch,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,October 1 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1925,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-12-322-010-0000,Yes,-,Garage,Good,Good,No,Vine Street,7601,4,dormers resided,-,-,Chicago Bungalow,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,classical portico  art glass,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1912,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-009-0000,Yes,-,Garage,Excellent,Poor,No,Vine Street,7605,4,resided  dormer addition,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1912,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-008-0000,Yes,-,Garage,Good,Poor,No,Vine Street,7607,4,resided,-,-,-,-,-,-,-,-,Asbestos Siding,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1912,-,Single Family Residential Building,197,Single Family Residential Building,Good,No,-,-,-,15-12-322-007-0000,Yes,-,Garage,Good,Poor,No,Vine Street,7611,4,resided  large dormer additions ,-,-,-,-,-,-,-,-,Asbestos Siding,Aluminum Siding,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1911,-,Single Family Residential Building,201,Single Family Residential Building,Good,No,-,-,-,15-12-322-006-0000,Yes,-,Garage,Good,Poor,No,Vine Street,7613,4,resided,-,-,-,-,$3000,H.F. Brown,-,-,Asbestos Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1911,-,Single Family Residential Building,205,Single Family Residential Building,Excellent,No,-,-,-,15-12-322-005-0000,Yes,-,Garage,Excellent,Poor,No,Vine Street,7617,4,-,-,-,-,-,$2800,-,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,-,2,Louisa Burtar,-,-,classical porch,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
-,Good,1912,-,Single Family Residential Building,207,Single Family Residential Building,Good,No,-,-,-,15-12-322-004-0000,Yes,-,Garage,Poor,Good,No,Vine Street,7619,4,resided,-,-,-,-,-,-,-,-,Aluminum Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1912,-,Single Family Residential Building,209,Single Family Residential Building,Good,No,-,-,-,15-12-322-003-0000,Yes,-,Garage,Good,Poor,No,Vine Street,7623,4,front reclad with stone  resided  dormer addition,-,-,-,-,$2200,William Schultz,-,-,Stone,Vinyl Siding,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1915,-,Single Family Residential Building,213,Single Family Residential Building,Good,No,-,-,-,15-12-322-002-0000,Yes,-,Garage,Good,Poor,No,Vine Street,7625,4,shutters added,-,-,-,-,-,-,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
-,Good,1913,-,Single Family Residential Building,217,Single Family Residential Building,Good,No,-,-,-,15-12-322-001-0000,Yes,-,Garage,Good,Poor,No,Vine Street,7629,4,resided,-,-,-,-,$4100,William Schultz,-,-,Vinyl Siding,Wood Shingles,-,-,-,-,-,-,-,-,-,2,-,-,-,classical porch,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1909,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-12-321-047-0000,Yes,-,Garage,Good,Poor,No,Ashland Avenue,18,4,-,-,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,brick detailing,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,October 12 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1941,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-12-321-046-0000,No,-,-,-,-,No,Madison Street,7700,4,replacement doors and windows,-,-,-,-,-,-,-,medical offices,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,October 2 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Good,1968,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-12-321-045-0000,No,-,-,-,-,No,Madison Street,7716,4,-,-,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,October 2 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Good,1959,-,Commercial Building,-,Commercial Building,Poor,No,-,-,-,15-12-321-042-0000,No,-,-,-,-,No,Madison Street,7706,4,canopy added,-,-,-,-,-,-,-,-,Brick,Aluminum Siding,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,October 2 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Excellent,2007,-,Commercial Building,-,-,-,No,-,-,No,15-12-321-040-0000,No,-,-,-,-,No,Madison Street,7722,4,-,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Metal,-,Hipped,-,Aluminum Framing/Knee Walls,-,-,October 2 2012,Strip Commercial,-,-,-,-,-,-,-
-,Excellent,1914,-,Single Family Residential Building,13,Single Family Residential Building,Good,No,-,-,-,15-12-321-025-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,12,4,porch enclosed  resided,-,-,Craftsman,-,$4400,H.E. Stout,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2,Alex Emery,-,-,eaves brackets,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1906,-,Single Family Residential Building,15,Single Family Residential Building,Excellent,No,-,-,-,15-12-321-024-0000,Yes,-,Garage,Good,Poor,No,Ashland Avenue,14,4,-,-,-,Colonial Revival,-,-,-,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,-,1.5,-,-,-,shingles,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Gambrel,-,-,-,-,October 12 2012,-,-,-,-,-,-,-,-
-,Excellent,1908,-,Single Family Residential Building,21,Single Family Residential Building,Good,No,-,-,-,15-12-321-021-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,22,4,resided  shutters added,-,-,-,-,$1500,C.C. Sanford,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1926,-,Single Family Residential Building,23,Single Family Residential Building,Excellent,No,-,-,-,15-12-321-020-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,24,4,-,-,-,Chicago Bungalow,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,stone detailing,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,October 12 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1911,-,Single Family Residential Building,25,Single Family Residential Building,Good,No,-,-,-,15-12-321-019-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,26,4,resided  shutters added,-,-,-,-,-,-,-,-,Aluminum Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,leaded glass,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Excellent,1922,-,Single Family Residential Building,29,Single Family Residential Building,Excellent,No,-,-,-,15-12-321-018-0000,Yes,-,Garage,Excellent,Excellent,No,Ashland Avenue,28,4,replacement windows,-,-,Chicago Bungalow,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,stone trim  bay window,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1915,-,Single Family Residential Building,31,Single Family Residential Building,Good,No,-,-,-,15-12-321-017-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,30,4,resided  shutters added,-,-,-,-,$3500,William Schultz,-,-,Aluminum Siding,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,October 12 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1915,-,Single Family Residential Building,33,Single Family Residential Building,Excellent,No,-,-,-,15-12-321-016-0000,Yes,-,Garage,Excellent,Poor,No,Ashland Avenue,32,4,shutters added,-,-,-,-,$2300,-,-,-,Stucco,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1913,-,Single Family Residential Building,35,Single Family Residential Building,Good,No,-,-,-,15-12-321-015-0000,Yes,-,-,-,-,No,Ashland Avenue,36,4,porch enclosed  resided,-,-,-,-,$1500,Frank Onorato,-,-,Aluminum Siding,-,-,-,-,-,-,-,-,-,-,1.5,Thomas V. Garvin,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1908,-,Single Family Residential Building,37,Single Family Residential Building,Poor,No,-,-,-,15-12-321-014-0000,No,-,Garage,Good,Poor,No,Ashland Avenue,38,4,side addition  porch altered  resided,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,1.5,E.C. Stocking,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,October 12 2012,Gable Front Cottage/House,-,-,-,-,-,-,-
-,Excellent,1901,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-321-013-0000,Yes,-,Garage,Good,Poor,No,Ashland Avenue,40,4,porch altered  resided,-,-,Colonial Revival,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Gambrel,-,-,-,-,October 12 2012,-,-,-,-,-,-,-,-
